2023-06-22 12:16:34,477|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1320370|172.22.0.3|false
2023-06-22 12:16:34,678|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1320571|172.22.0.3|false
2023-06-22 12:16:34,880|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1320773|172.22.0.3|false
2023-06-22 12:16:35,077|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1320970|172.22.0.3|false
2023-06-22 12:16:35,277|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1321170|172.22.0.3|false
2023-06-22 12:16:35,476|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1321369|172.22.0.3|false
2023-06-22 12:16:35,677|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1321570|172.22.0.3|false
2023-06-22 12:16:35,877|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1321770|172.22.0.3|false
2023-06-22 12:16:36,077|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1321970|172.22.0.3|false
2023-06-22 12:16:36,277|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1322170|172.22.0.3|false
2023-06-22 12:16:36,478|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1322371|172.22.0.3|false
2023-06-22 12:16:36,676|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1322569|172.22.0.3|false
2023-06-22 12:16:36,877|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1322770|172.22.0.3|false
2023-06-22 12:16:37,078|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1322971|172.22.0.3|false
2023-06-22 12:16:37,276|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1323169|172.22.0.3|false
2023-06-22 12:16:37,476|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1323369|172.22.0.3|false
2023-06-22 12:16:37,677|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1323570|172.22.0.3|false
2023-06-22 12:16:37,876|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1323769|172.22.0.3|false
2023-06-22 12:16:38,077|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1323970|172.22.0.3|false
2023-06-22 12:16:38,276|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1324169|172.22.0.3|false
2023-06-22 12:16:38,477|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1324370|172.22.0.3|false
2023-06-22 12:16:38,677|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1324570|172.22.0.3|false
2023-06-22 12:16:38,878|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1324771|172.22.0.3|false
2023-06-22 12:16:39,077|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1324970|172.22.0.3|false
2023-06-22 12:16:39,277|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1325170|172.22.0.3|false
2023-06-22 12:16:39,477|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1325370|172.22.0.3|false
2023-06-22 12:16:39,677|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1325570|172.22.0.3|false
2023-06-22 12:16:39,877|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1325770|172.22.0.3|false
2023-06-22 12:16:40,078|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1325971|172.22.0.3|false
